2017S001333    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,RDA LITORAL(BESÒS)                                ,Friday,February,Afternoon,4
2017S007492    ,Sant Martí,el Parc i la Llacuna del Poblenou,Àlaba / Almogàvers                                ,Saturday,September,Night,1
2017S005303    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària / Bac de Roda                        ,Saturday,June,Afternoon,1
2017S000604    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,RAMON TURRÓ / Ferrers                             ,Monday,January,Morning,1
2017S000982    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,SELVA DE MAR / Pg Taulat                          ,Monday,February,Morning,1
2017S004394    ,Ciutat Vella,el Raval,Josep Carner / Drassanes                          ,Thursday,May,Night,3
2017S009532    ,Ciutat Vella,el Raval,Carme                                             ,Thursday,November,Afternoon,1
2017S005486    ,Ciutat Vella,el Raval,Nou de la Rambla                                  ,Friday,June,Night,1
2017S005824    ,Ciutat Vella,el Raval,Portal de la Pau                                  ,Tuesday,July,Afternoon,1
2017S003530    ,Ciutat Vella,el Raval,Portal de Santa Madrona                           ,Thursday,April,Afternoon,0
2017S010224    ,Ciutat Vella,el Raval,Litoral (Besòs)                                   ,Sunday,December,Night,1
2017S004690    ,Ciutat Vella,el Raval,Drassanes                                         ,Saturday,May,Afternoon,1
2017S008950    ,Ciutat Vella,el Raval,Litoral (Llobregat)                               ,Sunday,October,Afternoon,0
2017S006138    ,Sant Martí,la Vila Olímpica del Poblenou,Doctor Trueta / Àlaba                             ,Friday,July,Morning,1
2017S006412    ,Sant Martí,la Vila Olímpica del Poblenou,Gregal                                            ,Saturday,July,Afternoon,1
2017S010159    ,Sant Martí,la Vila Olímpica del Poblenou,Ramon Trias Fargas / Salvador Espriu              ,Tuesday,December,Afternoon,1
2017S009541    ,Sant Martí,la Vila Olímpica del Poblenou,Marítim de Nova Icària                            ,Friday,November,Night,0
2017S004456    ,Sant Martí,la Vila Olímpica del Poblenou,Litoral (Besòs)                                   ,Friday,May,Afternoon,2
2017S006063    ,Sant Martí,la Vila Olímpica del Poblenou,Litoral (Llobregat)                               ,Wednesday,July,Morning,1
2017S007315    ,Sant Martí,la Vila Olímpica del Poblenou,Icària / Moscou                                   ,Friday,September,Afternoon,1
2017S010684    ,Sant Martí,la Vila Olímpica del Poblenou,Litoral                                           ,Wednesday,December,Night,1
2017S005596    ,Sant Martí,la Vila Olímpica del Poblenou,Voluntaris Olímpics / Marina                      ,Monday,June,Night,1
2017S008470    ,Sant Martí,la Vila Olímpica del Poblenou,Ramon Turró                                       ,Saturday,October,Morning,0
2017S000738    ,Sant Martí,la Vila Olímpica del Poblenou,AV LITORAL                                        ,Saturday,January,Night,0
2017S009081    ,Ciutat Vella,el Raval,Drassanes                                         ,Friday,November,Morning,0
2017S001635    ,Ciutat Vella,el Barri Gòtic,RDA LITORAL(LLOBRE                                ,Tuesday,February,Morning,3
2017S004087    ,Ciutat Vella,el Barri Gòtic,Laietana / Argenteria                             ,Monday,May,Afternoon,1
2017S010405    ,Ciutat Vella,el Barri Gòtic,Rambla                                            ,Saturday,December,Afternoon,1
2017S003383    ,Ciutat Vella,el Barri Gòtic,Colom                                             ,Thursday,April,Afternoon,1
2017S009528    ,Ciutat Vella,el Barri Gòtic,Catalunya                                         ,Thursday,November,Afternoon,1
2017S008609    ,Ciutat Vella,el Barri Gòtic,Portal de la Pau / Colom                          ,Thursday,October,Afternoon,1
2017S010397    ,Ciutat Vella,el Barri Gòtic,Portal de la Pau / Josep Carner                   ,Saturday,December,Morning,1
2017S007088    ,Ciutat Vella,el Barri Gòtic,B-10 (Llobregat)                                  ,Sunday,August,Morning,1
2017S006752    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat)                               ,Friday,August,Morning,0
2017S005434    ,Ciutat Vella,el Barri Gòtic,Ferran                                            ,Wednesday,June,Morning,0
2017S000795    ,Ciutat Vella,el Raval,HOSPITAL / Rbla Raval                             ,Monday,January,Morning,1
2017S003242    ,Ciutat Vella,el Raval,Rambla                                            ,Saturday,April,Night,0
2017S008456    ,Ciutat Vella,el Raval,Pelai                                             ,Saturday,October,Morning,2
2017S009001    ,Ciutat Vella,el Raval,Pelai / Gravina                                   ,Tuesday,October,Afternoon,1
2017S006961    ,Ciutat Vella,el Raval,Pelai / Bergara                                   ,Sunday,August,Afternoon,1
2017S003212    ,Ciutat Vella,el Raval,Pelai                                             ,Wednesday,April,Afternoon,2
2017S001328    ,Ciutat Vella,el Raval,PELAI                                             ,Friday,February,Morning,1
2017S005739    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Palau / Marquès de l'Argentera                    ,Sunday,July,Morning,1
2017S000459    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,PARC CIUTADELLA                                   ,Tuesday,January,Afternoon,1
2017S006949    ,Ciutat Vella,la Barceloneta,Almirall Cervera                                  ,Sunday,August,Night,1
2017S004227    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Ciutadella                                        ,Friday,May,Afternoon,0
2017S001390    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,PLA PALAU                                         ,Sunday,February,Afternoon,1
2017S008718    ,Ciutat Vella,la Barceloneta,Joan Borbó Comte Barcelona                        ,Saturday,October,Afternoon,2
2017S003375    ,Ciutat Vella,la Barceloneta,B-10 (Besòs)                                      ,Thursday,April,Afternoon,1
2017S007932    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Litoral (Llobregat)                               ,Monday,September,Afternoon,1
2017S007604    ,Ciutat Vella,la Barceloneta,Doctor Aiguader                                   ,Thursday,September,Morning,3
2017S004166    ,Ciutat Vella,la Barceloneta,Doctor Aiguader                                   ,Wednesday,May,Afternoon,1
2017S010744    ,Ciutat Vella,la Barceloneta,Doctor Aiguader                                   ,Friday,December,Morning,1
2017S004266    ,Ciutat Vella,la Barceloneta,Pizarro / Ginebra                                 ,Saturday,May,Afternoon,2
2017S001054    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,RDA LITORAL(LLOBRE                                ,Wednesday,February,Afternoon,1
2017S008486    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Isabel II                                         ,Sunday,October,Afternoon,1
2017S004804    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Colom / Antonio López                             ,Wednesday,May,Night,0
2017S003350    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Sota Muralla / Isabel II                          ,Wednesday,April,Afternoon,0
2017S000851    ,Ciutat Vella,la Barceloneta,RDA LITORAL(LLOBRE                                ,Wednesday,February,Morning,1
2017S008971    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Marquès de l'Argentera                            ,Monday,October,Afternoon,1
2017S005223    ,Ciutat Vella,el Barri Gòtic,Catalunya / Portal de l'Àngel                     ,Wednesday,June,Afternoon,2
2017S008716    ,Ciutat Vella,el Barri Gòtic,Catalunya                                         ,Saturday,October,Afternoon,1
2017S004623    ,Ciutat Vella,el Barri Gòtic,Catedral                                          ,Thursday,May,Afternoon,1
2017S006026    ,Ciutat Vella,el Barri Gòtic,Laietana / Antoni Maura                           ,Tuesday,July,Afternoon,2
2017S010256    ,Ciutat Vella,el Barri Gòtic,Laietana                                          ,Monday,December,Morning,1
2017S000606    ,Ciutat Vella,el Barri Gòtic,VIA LAIETANA / Pl Antoni Maura                    ,Monday,January,Afternoon,1
2017S002095    ,Ciutat Vella,el Barri Gòtic,VIA LAIETANA                                      ,Wednesday,March,Afternoon,3
2017S006906    ,Ciutat Vella,la Barceloneta,Ramon Trias Fargas / Litoral                      ,Thursday,August,Night,1
2017S010538    ,Ciutat Vella,la Barceloneta,Ramon Trias Fargas                                ,Wednesday,December,Afternoon,2
2017S005721    ,Ciutat Vella,la Barceloneta,Litoral / Ramon Trias Fargas                      ,Friday,June,Afternoon,1
2017S003638    ,Ciutat Vella,la Barceloneta,Marítim de la Barceloneta / Gas                   ,Monday,April,Morning,1
2017S008440    ,Ciutat Vella,la Barceloneta,Sant Elm                                          ,Friday,October,Afternoon,0
2017S001444    ,Ciutat Vella,la Barceloneta,CERMEÑO                                           ,Monday,February,Night,1
2017S000764    ,Ciutat Vella,la Barceloneta,RAMON TRIAS FARGAS                                ,Sunday,January,Morning,1
2017S002106    ,Ciutat Vella,la Barceloneta,PG MARÍTIM BARCELO                                ,Thursday,March,Night,1
2017S008850    ,Ciutat Vella,la Barceloneta,Sota Muralla / Palau                              ,Wednesday,October,Night,1
2017S005532    ,Ciutat Vella,la Barceloneta,Marítim de la Barceloneta / Judici                ,Sunday,June,Afternoon,2
2017S005717    ,Ciutat Vella,la Barceloneta,Mar / Almirall Aixada                             ,Friday,June,Afternoon,1
2017S004877    ,Ciutat Vella,la Barceloneta,Almirall Aixada / Baluard                         ,Friday,June,Afternoon,1
2017S008446    ,Ciutat Vella,la Barceloneta,Litoral / Ramon Trias Fargas                      ,Friday,October,Afternoon,2
2017S008482    ,Ciutat Vella,la Barceloneta,Pau Vila                                          ,Sunday,October,Morning,0
2017S003370    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Lluís Companys / Comerç                           ,Thursday,April,Afternoon,3
2017S004245    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Francesc Cambó / Freixures                        ,Friday,May,Afternoon,1
2017S003801    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Pujades                                           ,Friday,April,Afternoon,1
2017S007110    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Pujades                                           ,Tuesday,August,Afternoon,1
2017S010633    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Laietana                                          ,Sunday,December,Afternoon,1
2017S005097    ,Eixample,Sant Antoni,Corts Catalanes / Vilamarí                        ,Saturday,June,Afternoon,1
2017S000993    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,AV FRANCESC CAMBÓ                                 ,Monday,February,Morning,0
2017S006259    ,Ciutat Vella,Sant Pere  Santa Caterina i la Ribera,Jonqueres / Laietana                              ,Tuesday,July,Morning,1
2017S009475    ,Eixample,Sant Antoni,Paral·lel / Floridablanca                         ,Wednesday,November,Afternoon,1
